uid,time,aqi,city_name,lat,lon,pm25,pm10,no2,so2,co,o3,temp_c,humidity_pct,pressure_hpa,wind_speed_mps,aqi_category,month,season,temp_condition
428,2025-09-21 01:00:00,107.0,"Osorno, Chile",-40.58447867,-73.11871982,107.0,37.0,,,,,8.7,93.8,1008.3,0.9,Unhealthy for Sensitive,9,Autumn,Cold
8821,2025-09-21 01:00:00,63.0,"Mirasol, Chile",-41.47950692,-72.96875593,63.0,,,,,,8.0,93.0,1013.0,1.0,Moderate,9,Autumn,Cold
14756,2025-09-21 02:00:00,46.0,"Puerto Varas, Chile",-41.32893509,-72.96820876,46.0,12.0,,,,,8.0,93.0,1013.0,1.0,Good,9,Autumn,Cold
445,2025-09-21 02:00:00,152.0,"Coyhaique, Chile",-45.57996448,-72.06112599,152.0,46.0,,,,,6.0,87.0,1008.0,7.2,Unhealthy,9,Autumn,Cold
10699,2025-09-21 01:00:00,38.0,"Vialidad, Chile",-45.40680023,-72.69625962,38.0,,,,,,6.0,93.0,1009.0,8.2,Good,9,Autumn,Cold
4981,2025-09-21 02:00:00,13.0,"Punta Arenas, Chile",-53.15829549,-70.92149748,13.0,,,,,,4.0,80.0,1004.0,8.2,Good,9,Autumn,Cold
3302,2025-09-21 16:00:00,25.0,Geeveston,-43.17,146.925,25.0,9.0,,,,,3.1,97.2,,9.2,Good,9,Autumn,Cold
8753,2025-09-21 16:00:00,5.0,Mornington,-42.861,147.404,5.0,2.0,,,,,14.9,53.0,992.4,4.1,Good,9,Autumn,Mild
3295,2025-09-21 16:00:00,1.0,Fingal,-41.638,147.967,5.0,1.0,,,,,15.4,56.9,994.7,5.6,Good,9,Autumn,Mild
3294,2025-09-21 15:00:00,1.0,St Helens,-41.32,148.25,5.0,1.0,,,,,15.4,56.9,994.7,5.6,Good,9,Autumn,Mild
3284,2025-09-21 16:00:00,5.0,Hadspen,-41.503,147.067,5.0,2.0,,,,,14.0,56.0,1001.0,7.7,Good,9,Autumn,Mild
3286,2025-09-21 16:00:00,5.0,Perth,-41.578,147.172,5.0,2.0,,,,,13.9,76.8,981.0,9.2,Good,9,Autumn,Mild
8296,2025-09-21 16:00:00,5.0,Devonport,-41.185,146.345,5.0,1.0,,,,,14.0,76.8,1002.0,8.7,Good,9,Autumn,Mild
8298,2025-09-21 16:00:00,42.0,Bream Creek,-42.819,147.817,42.0,10.0,,,,,11.6,85.2,997.3,8.2,Good,9,Autumn,Mild
10724,2025-09-21 16:00:00,25.0,Queenstown,-42.081,145.553,25.0,7.0,,,,,10.4,92.3,1000.9,8.7,Good,9,Autumn,Mild
3298,2025-09-21 15:00:00,13.0,New Norfolk,-42.776,147.054,13.0,1.0,,,,,13.8,68.0,,5.1,Good,9,Autumn,Mild
3281,2025-09-21 16:00:00,5.0,Sheffield,-41.43,146.338,5.0,2.0,,,,,12.4,68.2,969.4,7.2,Good,9,Autumn,Mild
3287,2025-09-21 16:00:00,9.0,George Town,-41.111,146.836,9.0,5.0,,,,,14.1,76.9,1003.0,12.8,Good,9,Autumn,Mild
3278,2025-09-21 16:00:00,13.0,Wynyard,-40.992,145.718,13.0,7.0,,,,,13.4,73.2,1002.1,11.8,Good,9,Autumn,Mild
3300,2025-09-21 16:00:00,5.0,Judbury,-43.01,146.94,5.0,1.0,,,,,12.3,67.2,,4.1,Good,9,Autumn,Mild
3292,2025-09-21 15:00:00,5.0,Scottsdale,-41.162,147.515,5.0,5.0,,,,,13.1,76.2,978.5,7.7,Good,9,Autumn,Mild
3288,2025-09-21 16:00:00,5.0,Exeter,-41.303,146.951,5.0,2.0,,,,,13.0,85.9,,5.6,Good,9,Autumn,Mild
3279,2025-09-21 16:00:00,9.0,Emu River,-41.108,145.883,9.0,3.0,,,,,13.4,73.2,1002.1,11.8,Good,9,Autumn,Mild
9082,2025-09-21 16:00:00,5.0,Oatlands,-42.3,147.372,5.0,1.0,,,,,9.8,78.3,945.6,7.2,Good,9,Autumn,Cold
3299,2025-09-21 16:00:00,5.0,Hobart,-42.855,147.315,5.0,2.0,,,,,14.9,53.0,992.4,4.1,Good,9,Autumn,Mild
3282,2025-09-21 16:00:00,5.0,Deloraine,-41.523,146.658,5.0,4.0,,,,,12.7,57.0,1003.1,6.0,Good,9,Autumn,Mild
3296,2025-09-21 16:00:00,,Campbell Town,-41.928,147.491,5.0,1.0,,,,,13.9,76.8,981.0,9.2,Unknown,9,Autumn,Mild
3291,2025-09-21 16:00:00,25.0,Lilydale,-41.25,147.217,25.0,9.0,,,,,13.0,85.9,,5.6,Good,9,Autumn,Mild
10725,2025-09-21 16:00:00,5.0,Latrobe,-41.238,146.42,5.0,3.0,,,,,14.0,76.8,1002.0,8.7,Good,9,Autumn,Mild
3277,2025-09-21 16:00:00,13.0,Smithton,-40.85,145.133,13.0,6.0,,,,,13.0,83.1,1004.2,12.3,Good,9,Autumn,Mild
9083,2025-09-21 16:00:00,1.0,Triabunna,-42.509,147.913,5.0,1.0,,,,,15.7,58.2,994.6,6.6,Good,9,Autumn,Mild
9096,2025-09-21 18:00:00,32.0,"Woolston, New Zealand",-43.5473746,172.6790455,32.0,22.0,40.1,3.8,13.3,,15.53,50.0,1026.3,4.04,Good,9,Autumn,Mild
